Pathways	Species	Taxonomic-Range
pectin degradation I	Dickeya dadantii // Erwinia chrysanthemi EC16	Fungi // Bacteria <bacteria>
superpathway of benzoxazinoid glucosides biosynthesis	Coix lacryma-jobi // Triticum aestivum // Zea mays	Magnoliopsida
petrobactin biosynthesis	Bacillus anthracis // Bacillus anthracis // Bacillus cereus // Alkalihalobacillus clausii // Bacillus thuringiensis // Marinobacter nauticus // Marinobacter nauticus // Methylorubrum extorquens // Methylorubrum extorquens // Methylorubrum populi // Phaeobacter inhibens // Photobacterium angustum // Photobacterium sp. SKA34 // Rhodopseudomonas palustris	Bacteria <bacteria>
factor 420 biosynthesis I (archaea)	Halobacteria // Methanobacteria // Methanocaldococcus jannaschii // Methanococci // Methanomicrobia // Methanosarcina // Methanosarcina thermophila // Methanothermobacter thermautotrophicus	Archaea
L-malate degradation II	Enterococcus faecalis // Lacticaseibacillus casei // Saccharomyces cerevisiae // Streptococcus agalactiae // Streptococcus pyogenes // Streptococcus uberis	Opisthokonta // Bacteria <bacteria>
gliotoxin inactivation	Aspergillus fumigatus	Aspergillaceae // Fungi
acinetoferrin biosynthesis	Acinetobacter haemolyticus	Bacteria <bacteria>
acetan biosynthesis	Komagataeibacter xylinus	Bacteria <bacteria>
factor 420 polyglutamylation	Archaeoglobus fulgidus // Methanobacteria // Methanocaldococcus jannaschii // Methanococci // Methanomicrobia // Methanopyri // Methanosarcina // Methanosarcina barkeri // Mycobacterium // Mycobacterium tuberculosis // Mycolicibacterium smegmatis // Streptomyces	Cyanobacteria // Archaea // Actinobacteria
L-malate degradation I	Lacticaseibacillus casei // Lactiplantibacillus plantarum // Leuconostoc mesenteroides // Oenococcus oeni	Lactobacillales
superpathway of aflatoxin biosynthesis	Aspergillus flavus // Aspergillus parasiticus	Fungi
desferrioxamine B biosynthesis	Streptomyces pilosus	Streptomyces
L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	Arabidopsis thaliana	Viridiplantae
paromamine biosynthesis II	Niallia circulans	Bacteria <bacteria>
anditomin biosynthesis	Aspergillus stellatus	Fungi
staphyloferrin B biosynthesis	Cupriavidus metallidurans // Methylobacterium nodulans // Ralstonia solanacearum // Shewanella denitrificans // Staphylococcus aureus // Staphylococcus pseudintermedius	Bacteria <bacteria>
succinoglycan biosynthesis	Alcaligenes faecalis // Sinorhizobium meliloti // Sinorhizobium meliloti	Proteobacteria
L-ornithine biosynthesis I	Escherichia coli // Myxococcus xanthus // Saccharolobus solfataricus // Salmonella enterica // Vibrionaceae	Archaea // Bacteria <bacteria>
paromamine biosynthesis I	Streptoalloteichus tenebrarius // Streptomyces fradiae // Streptomyces kanamyceticus	Actinobacteria
2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas aeruginosa	Bacteria <bacteria>
bisucaberin biosynthesis	Aliivibrio salmonicida // Pseudoalteromonas haloplanktis	Bacteria <bacteria>
L-ornithine biosynthesis II	Homo sapiens // Solanum lycopersicum // Vigna aconitifolia // Arabidopsis thaliana	Viridiplantae // Metazoa
D-xylose degradation II	Aspergillus niger // Candida parapsilosis // Candida tropicalis // Neurospora crassa // Rasamsonia emersonii // Scheffersomyces stipitis // Trichoderma reesei // Yamadazyma tenuis	Fungi
<i>N</i>-hydroxy-L-pipecolate biosynthesis	Arabidopsis thaliana	Viridiplantae
myxochelin A and B biosynthesis	Archangium disciforme // Myxococcus xanthus // Stigmatella aurantiaca	Myxococcales
colanic acid (<i>Escherichia coli</i> K12) biosynthesis	Escherichia coli	Enterobacteriaceae
D-xylose degradation IV	Saccharolobus solfataricus // Saccharolobus solfataricus // Sulfolobus acidocaldarius // Sulfolobus acidocaldarius	Bacteria <bacteria> // Archaea
pyoverdine I biosynthesis	Pseudomonas aeruginosa	Pseudomonas
D-arabinose degradation V	Candida albicans // Scheffersomyces stipitis	Fungi
enterobactin biosynthesis	Escherichia coli	Proteobacteria
enterobacterial common antigen biosynthesis	Escherichia coli	Enterobacteriaceae
D-xylose degradation to ethylene glycol (engineered)	Caulobacter vibrioides // Escherichia coli // Escherichia coli	Proteobacteria
ferrichrome biosynthesis	Aspergillus quadricinctus // Ustilago maydis // Ustilago sphaerogena	Fungi
D-xylose degradation VI	Herbaspirillum huttiense	Bacteria <bacteria>
hydroxylated mugineic acid phytosiderophore biosynthesis	Hordeum vulgare // Secale cereale	Poales
xyloglucan biosynthesis	Pisum sativum // Arabidopsis thaliana	Viridiplantae
2-carboxy-1,4-naphthoquinol biosynthesis	Mycobacterium tuberculosis // Bacillus subtilis // Enterococcus faecalis // Escherichia coli // Galium mollugo // Mycobacterium avium complex (MAC) // Mycolicibacterium fortuitum // Mycobacterium kansasii // Mycolicibacterium phlei // Mycobacterium tuberculosis // Rubia tinctorum // Synechocystis sp. PCC 6803 // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
D-xylose degradation III	Haloarcula marismortui // Haloferax volcanii // Halorubrum lacusprofundi // Saccharolobus solfataricus // Sulfolobus acidocaldarius	Archaea
acinetobactin biosynthesis	Acinetobacter baumannii // Aeromonas salmonicida	Bacteria <bacteria>
D-xylose degradation V	Azospirillum brasilense // Caulobacter vibrioides // Paenarthrobacter nicotinovorans // Pseudomonas taiwanensis	Bacteria <bacteria>
baumannoferrin biosynthesis	Acinetobacter baumannii // Acinetobacter baumannii	Bacteria <bacteria>
xanthan biosynthesis	Xanthomonas campestris // Xanthomonas oryzae	Bacteria <bacteria>
D-xylose degradation I	Escherichia coli	Fungi // Bacteria <bacteria>
desferrioxamine E biosynthesis	Streptomyces coelicolor // Streptomyces pilosus	Actinobacteria
mandelate degradation to acetyl-CoA	Pseudomonas putida	Proteobacteria
staphylopine biosynthesis	Staphylococcus aureus	Bacteria <bacteria>
chitin biosynthesis	Aedes aegypti // Apis mellifera // Bombyx mori // Drosophila melanogaster // Haemaphysalis longicornis // Helicoverpa armigera // Locusta migratoria // Locusta migratoria // Manduca sexta // Phormia regina // Saccharomyces cerevisiae // Saccharomyces cerevisiae // Schistocerca gregaria // Spodoptera exigua // Spodoptera frugiperda	Mollusca // Nematoda // Cnidaria // Porifera // Entamoeba // Arthropoda // Fungi
mandelate degradation I	Pseudomonas putida	Proteobacteria
alcaligin biosynthesis	Achromobacter xylosoxidans // Bordetella bronchiseptica // Bordetella parapertussis // Bordetella pertussis	Alcaligenaceae
formaldehyde assimilation III (dihydroxyacetone cycle)	[Candida] boidinii // Ogataea minuta // [Candida] methylica // Komagataella pastoris // Ogataea angusta // Ogataea methanolica	Fungi
leporin B biosynthesis	Aspergillus flavus // Aspergillus leporis // Scytalidium cuboideum	saccharomyceta
superpathway of enterobacterial common antigen biosynthesis	Escherichia coli	Enterobacteriaceae
benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	Cucumis sativus // Nicotiana attenuata // Nicotiana tabacum // Petunia x hybrida	Embryophyta
formaldehyde assimilation II (assimilatory RuMP Cycle)	Bacillus subtilis // Methylobacillus flagellatus // Brevibacillus brevis // Methylomonas aminofaciens // Mycobacterium gastri	Bacteria <bacteria>
lacinilene C biosynthesis	Gossypium arboreum	Gossypium
pyochelin biosynthesis	Burkholderia cepacia // Pseudomonas aeruginosa // Pseudomonas fluorescens	Bacteria <bacteria>
benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	Hypericum androsaemum	Viridiplantae
formaldehyde assimilation I (serine pathway)	Methylobacter whittenburyi // Methylorubrum extorquens // Methylobacterium organophilum // Methylocystis echinoides // Methylocystis minimus // Methylocystis parvus // Methylocystis pyriformis // Methylosinus sporium // Methylosinus trichosporium // Hyphomicrobium methylovorum // Hyphomicrobium zavarzinii	Bacteria <bacteria>
heliocides biosynthesis	Gossypium barbadense	Gossypium
aerobactin biosynthesis	Klebsiella aerogenes // Escherichia coli // Klebsiella pneumoniae // Salmonella enterica // Shigella boydii // Shigella flexneri // Yersinia frederiksenii // Yersinia intermedia // Yersinia kristensenii	Proteobacteria
carrageenan biosynthesis	Chondrus crispus	Rhodophyta
benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	Antirrhinum majus // Petunia x hybrida // Arabidopsis thaliana	Embryophyta
2-methylisoborneol biosynthesis	Nannocystis exedens // Pseudanabaena limnetica // Saccharopolyspora erythraea // Streptomyces ambofaciens // Streptomyces antibioticus // Streptomyces coelicolor // Streptomyces griseus // Streptomyces lasaliensis	Myxococcales // Cyanobacteria // Actinobacteria
ferrichrome A biosynthesis	Ustilago maydis	Fungi
thymine degradation	Acidovorax facilis // Brevibacillus agri // Burkholderia cepacia // Escherichia coli // Lachancea kluyveri // Limonium latifolium // Pseudomonas aeruginosa // Pseudomonas putida // Pseudomonas stutzeri // Ralstonia pickettii // Rattus norvegicus // Salmonella enterica // Triticum aestivum // Zea mays // Arabidopsis thaliana	Lachancea // Bacteria <bacteria> // Viridiplantae // Mammalia
superpathway of oleoresin turpentine biosynthesis	Pinus contorta // Pinus taeda // Picea abies // Abies grandis	Pinidae
2'-deoxymugineic acid phytosiderophore biosynthesis	Hordeum vulgare // Oryza sativa // Triticum aestivum // Zea mays	Poaceae
1,3-&beta;-D-glucan biosynthesis	Hordeum vulgare // Oryza sativa // Triticum aestivum // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
uracil degradation III	Escherichia coli	Bacteria <bacteria>
(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	Phaseolus lunatus // Arabidopsis thaliana	Streptophyta
pseudomonine biosynthesis	Pseudomonas entomophila // Pseudomonas fluorescens	Bacteria <bacteria>
uracil degradation II (oxidative)	Klebsiella aerogenes // Gordonia rubripertincta // Rhodococcus erythropolis	Bacteria <bacteria>
vanchrobactin biosynthesis	Vibrio anguillarum	Bacteria <bacteria>
glycosaminoglycan-protein linkage region biosynthesis	Homo sapiens	Metazoa
L-tyrosine biosynthesis II	Synechocystis sp. PCC 6803 // Nicotiana sylvestris // Sorghum bicolor // Arabidopsis thaliana	Viridiplantae // Fungi // Bacteria <bacteria>
anthranilate degradation II (aerobic)	Aromatoleum evansii	Proteobacteria
diploterol biosynthesis	Adiantum capillus-veneris	Pteridaceae
vibriobactin biosynthesis	Vibrio cholerae	Vibrio cholerae
superpathway of L-tyrosine biosynthesis	Escherichia coli	Bacteria <bacteria>
anthranilate degradation III (anaerobic)	Aromatoleum evansii // Thauera aromatica	Proteobacteria
cholesterol biosynthesis (diatoms)	Cyclotella cryptica // Skeletonema marinoi	Bacillariophyta
staphyloferrin A biosynthesis	Staphylococcus aureus	Bacteria <bacteria>
chondroitin biosynthesis	Homo sapiens	Metazoa
L-tyrosine biosynthesis IV	Homo sapiens	Metazoa
anthranilate degradation IV (aerobic)	Geobacillus thermodenitrificans	Eukaryota // Bacteria <bacteria>
phytosterol biosynthesis (plants)	Glycine max // Nicotiana tabacum // Zea mays // Arabidopsis thaliana	Magnoliopsida
putrebactin biosynthesis	Shewanella oneidensis // Shewanella putrefaciens // Shewanella sp. MR-4 // Shewanella sp. MR-7	Shewanella
L-tyrosine biosynthesis III	Actinoplanes missouriensis // Zea mays	Embryophyta // Fungi // Bacteria <bacteria>
anthranilate degradation I (aerobic)	Pseudomonas aeruginosa // Acinetobacter baylyi // Bacillus anthracis // Bacillus cereus // Priestia megaterium // Bordetella pertussis // Burkholderia cepacia // Paraburkholderia xenovorans // Delftia acidovorans // Pseudomonas chlororaphis // Pseudomonas fluorescens // Cupriavidus metallidurans // Ralstonia solanacearum // Streptomyces parvulus // Thermobifida fusca // Xanthobacter // Xanthomonas arboricola	Bacteria <bacteria>
4,4'-diapolycopenedioate biosynthesis	Methylomonas sp. 16a	Bacteria <bacteria>
salmochelin biosynthesis	Escherichia coli // Salmonella enterica	Enterobacterales
superpathway of chondroitin sulfate biosynthesis	Homo sapiens	Metazoa
L-tyrosine biosynthesis I	Escherichia coli // Saccharomyces cerevisiae	Fungi // Viridiplantae // Bacteria <bacteria> // Archaea
&alpha;-linolenate biosynthesis II (cyanobacteria)	Trichormus variabilis // Arthrospira platensis // Gloeobacter violaceus // Nostoc punctiforme // Nostoc sp. 36 // Nostoc sp. PCC 7120 = FACHB-418 // Synechococcus sp. PCC 7002 // Synechocystis sp. PCC 6803 // Trichodesmium erythraeum	Cyanobacteria
ursolate biosynthesis	Catharanthus roseus // Medicago truncatula // Vitis vinifera	Spermatophyta
yersiniabactin biosynthesis	Yersinia pseudotuberculosis // Yersinia enterocolitica // Yersinia pestis	Yersinia <enterobacteria>
&alpha;-linolenate biosynthesis I (plants and red algae)	Actinidia chinensis // Brassica napus // Cannabis sativa // Cyanidium caldarium // Glycine max // Hippophae rhamnoides // Linum usitatissimum // Perilla frutescens // Portulaca oleracea // Salvia hispanica // Vaccinium vitis-idaea // Arabidopsis thaliana	Rhodophyta // Viridiplantae
saponin biosynthesis III	Gypsophila vaccaria	Embryophyta
mycobactin biosynthesis	Mycobacterium tuberculosis	Corynebacteriales
superpathway of heparan sulfate biosynthesis	Homo sapiens	Metazoa
costunolide biosynthesis	Artemisia annua // Barnadesia spinosa // Cichorium intybus // Helianthus annuus // Lactuca sativa // Pogostemon cablin // Solidago canadensis // Tanacetum parthenium	Viridiplantae // cellular organisms
pentacyclic triterpene biosynthesis	Betula platyphylla // Avena strigosa // Bruguiera gymnorhiza // Gentiana straminea // Glycyrrhiza glabra // Kalanchoe daigremontiana // Kandelia candel // Luffa aegyptiaca // Medicago truncatula // Panax ginseng // Rhizophora stylosa // Solanum lycopersicum // Arabidopsis thaliana	Viridiplantae
achromobactin biosynthesis	Dickeya dadantii // Dickeya chrysanthemi // Pseudomonas syringae	Proteobacteria
artemisinin and arteannuin B biosynthesis	Artemisia annua	Artemisia
thalianol and derivatives biosynthesis	Arabidopsis thaliana	Brassicaceae
bacillibactin biosynthesis	Bacillus anthracis // Bacillus cereus // Bacillus subtilis // Bacillus thuringiensis	Bacilli
dermatan sulfate biosynthesis	Homo sapiens	Metazoa
3&beta;-hydroxysesquiterpene lactone biosynthesis	Tanacetum parthenium	Viridiplantae
des-methyl avenacin A-1 biosynthesis	Avena strigosa	Avena
rhizobactin 1021 biosynthesis	Sinorhizobium meliloti Rm2011	Proteobacteria
5-hexynoate biosynthesis	Moorena producens	Bacteria <bacteria>
dammara-20,24-diene biosynthesis	Dryopteris crassirhizoma	cellular organisms
sulfur disproportionation I (anaerobic)	Chlorobaculum thiosulfatiphilum // Desulfobulbus // Desulfobulbus propionicus // Desulfocapsa // Desulfocapsa sulfexigens // Desulfocapsa thiozymogenes	Bacteria <bacteria>
heparan sulfate biosynthesis	Homo sapiens	Metazoa
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	Escherichia coli // Homo sapiens // Mortierella alpina // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
9-decynoate biosynthesis	Teredinibacter turnerae	Bacteria <bacteria>
24-<i>epi</i>-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)	Cyclotella cryptica // Skeletonema marinoi	Bacillariophyta
sulfur disproportionation II (aerobic)	Acidianus // Acidianus ambivalens // Acidianus brierleyi // Acidianus tengchongensis // Aquifex aeolicus // Picrophilus torridus // Sulfurisphaera tokodaii	Aquificae <phylum> // Thermoprotei // Thermoplasmata
GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis	Campylobacter jejuni	Bacteria <bacteria>
protocatechuate degradation I (<I>meta</I>-cleavage pathway)	Comamonas testosteroni // Delftia acidovorans // Pseudomonas straminea // Sphingomonas sp. SYK6	Proteobacteria
lupeol biosynthesis	Betula platyphylla // Arabidopsis thaliana	Viridiplantae
chondroitin sulfate biosynthesis	Homo sapiens	Metazoa
GDP-<i>N</i>-formyl-&alpha;-D-perosamine biosynthesis	Brucella abortus // Brucella melitensis	Bacteria <bacteria>
protocatechuate degradation III (<I>para</I>-cleavage pathway)	Paenibacillus sp. JJ-1b	Bacteria <bacteria>
mangrove triterpenoid biosynthesis	Bruguiera gymnorhiza // Rhizophora mangle // Rhizophora apiculata // Rhizophora stylosa // Kandelia candel // Rhizophoraceae	Rhizophoraceae
4-chlorobenzoate degradation	Arthrobacter sp. SU // Arthrobacter sp. TM1 // Pseudomonas sp. CBS3 // Arthrobacter sp. // Arthrobacter globiformis KZT1	Bacteria <bacteria>
GDP-mannose biosynthesis	Candida albicans // Escherichia coli // Homo sapiens // Pseudomonas aeruginosa // Pyrococcus horikoshii // Saccharomyces cerevisiae // Spinacia oleracea // Sus scrofa // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
